Postcode,Latitude,Longitude
BH1 3,50.7231,-1.86059
BH1 4,50.7284,-1.84976
BH1 9,50.7276,-1.86466
BH2 5,50.7196,-1.88297
BH2 6,50.725,-1.87899
BH3 7,50.7355,-1.88023
BH4 0,50.7219,-1.9024
BH4 8,50.7182,-1.90068
BH4 9,50.7246,-1.89928
BH5 1,50.7245,-1.84182
BH5 2,50.7275,-1.82956
BH5 4,50.7231,-2.01695
BH6 3,50.7253,-1.81163
BH6 4,50.7239,-1.79346
BH6 5,50.7321,-1.81548
BH7 6,50.7333,-1.82909
BH7 7,50.7363,-1.84201
BH8 0,50.7526,-1.84219
BH8 8,50.7306,-1.86161
BH8 9,50.7426,-1.85233
BH9 1,50.7459,-1.87408
BH9 2,50.7487,-1.88151
BH9 3,50.7564,-1.86705
BH10 4,50.7499,-1.89832
BH10 5,50.758,-1.89575
BH10 6,50.7614,-1.88649
BH10 7,50.7681,-1.89133
BH11 0,50.7582,-1.92434
BH11 2,,
BH11 8,50.7559,-1.91631
BH11 9,50.7664,-1.92152
BH12 1,50.7307,-1.91287
BH12 2,50.7333,-1.93103
BH12 3,50.7374,-1.94115
BH12 4,50.7431,-1.93103
BH12 5,50.7449,-1.91247
BH12 9,50.7404,-1.91366
BH13 6,50.718,-1.91021
BH13 7,50.7047,-1.92453
BH14 0,50.7272,-1.95183
BH14 4,50.7253,-1.94923
BH14 8,50.7171,-1.94684
BH14 9,50.7237,-1.93504
BH15 1,50.7152,-1.983
BH15 2,50.722,-1.97574
BH15 3,50.7323,-1.9745
BH15 4,50.7175,-2.0086
BH15 5,50.7185,-2.01227
BH15 9,50.7166,-1.98238
BH16 5,50.7348,-2.02764
BH16 6,50.7427,-2.06749
BH17 0,50.7429,-1.97651
BH17 7,50.7441,-1.98073
BH17 8,50.746,-1.95822
BH17 9,50.7512,-1.96728
BH18 0,50.7467,-1.97393
BH18 8,50.7571,-1.987
BH18 9,50.7589,-1.99975
BH19 1,50.6142,-1.96224
BH19 2,50.6067,-1.9644
BH19 3,50.6168,-1.99713
BH19 9,50.6094,-1.95919
BH20 4,50.6903,-2.11316
BH20 5,50.6454,-2.12183
BH20 6,50.6881,-2.21521
BH20 7,50.7285,-2.15436
BH20 9,50.6929,-2.10867
BH21 1,50.7961,-1.98189
BH21 2,50.8035,-1.95933
BH21 3,50.7751,-2.01047
BH21 4,50.8094,-2.02848
BH21 5,50.8899,-1.97845
BH21 6,50.8666,-1.8837
BH21 7,50.8216,-1.93882
BH21 8,50.8786,-1.92559
BH21 9,50.8011,-1.98467
BH22 0,50.8219,-1.88233
BH22 2,50.8089,-1.89313
BH22 8,50.7951,-1.88517
BH22 9,50.8061,-1.89589
BH23 1,50.7349,-1.77831
BH23 2,50.7454,-1.7938
BH23 3,50.7361,-1.75505
BH23 4,50.7394,-1.73405
